Title|Authors
Coordinate regulation of glutathione biosynthesis and release by Nrf2-expressing glia potently protects neurons from oxidative stress|['Tim H. Murphy', 'Andy Shih']
Early increase in extrasynaptic NMDA receptor signaling and expression contributes to phenotype onset in Huntington's disease mice|['Tim H. Murphy', 'Lynn Raymond']
A small-molecule-inducible Nrf2-mediated antioxidant response provides effective prophylaxis against cerebral ischemia in vivo|['Tim H. Murphy', 'Andy Shih']
Extensive turnover of dendritic spines and vascular remodeling in cortical tissues recovering from stroke|['Tim H. Murphy', 'Craig E. Brown']
Spontaneous cortical activity alternates between motifs defined by regional axonal projections|['Tim H. Murphy', 'Jeffrey LeDue']
NF-E2-related factor-2 mediates neuroprotection against mitochondrial complex I inhibitors and increased concentrations of intracellular calcium in primary cortical neurons|['Tim H. Murphy', 'Andy Shih']
Cystine/glutamate exchange modulates glutathione supply for neuroprotection from oxidative stress and cell proliferation|['Tim H. Murphy', 'Andy Shih']
In vivo voltage-sensitive dye imaging in adult mice reveals that somatosensory maps lost to stroke are replaced over weeks by new structural and functional circuits with …|['Tim H. Murphy', 'Craig E. Brown']
Induction of the Nrf2-driven antioxidant response confers neuroprotection during mitochondrial stress in vivo|['Tim H. Murphy', 'Andy Shih']
P/Q-type calcium channels mediate the activity-dependent feedback of syntaxin-1A|['Tim H. Murphy', 'Terry Snutch']
Differential regulation of synaptic and extra-synaptic NMDA receptors|['Tim H. Murphy', 'Lynn Raymond']
Postsynaptic TrkC and presynaptic PTPσ function as a bidirectional excitatory synaptic organizing complex|['Tim H. Murphy', 'Yu Tian Wang']
Rapid morphologic plasticity of peri-infarct dendritic spines after focal ischemic stroke|['Tim H. Murphy', 'Craig E. Brown']
Competition between phasic and asynchronous release for recovered synaptic vesicles at developing hippocampal autaptic synapses|['Tim H. Murphy', 'Lynn Raymond']
Role of NR2B-type NMDA receptors in selective neurodegeneration in Huntington disease|['Tim H. Murphy', 'Lynn Raymond']
In vivo Large-Scale Cortical Mapping Using Channelrhodopsin-2 Stimulation in Transgenic Mice Reveals Asymmetric and Reciprocal Relationships between …|['Tim H. Murphy', 'Jeffrey LeDue']
Enhanced Striatal NR2B-Containing N-Methyl-d-Aspartate Receptor-Mediated Synaptic Currents in a Mouse Model of Huntington Disease|['Tim H. Murphy', 'Lynn Raymond']
Mapping synaptic glutamate transporter dysfunction in vivo to regions surrounding Aβ plaques by iGluSnFR two-photon imaging|['Tim H. Murphy', 'Brian MacVicar', 'Jeffrey LeDue']
Longitudinal in vivo Imaging Reveals Balanced and Branch-Specific Remodeling of Mature Cortical Pyramidal Dendritic Arbors after Stroke|['Tim H. Murphy', 'Craig E. Brown']
Mapping cortical mesoscopic networks of single spiking cortical or sub-cortical neurons|['Tim H. Murphy', 'Jeffrey LeDue']
Optogenetic stimulation of GABA neurons can decrease local neuronal activity while increasing cortical blood flow|['Tim H. Murphy', 'Jeffrey LeDue']
Optogenetic mapping after stroke reveals network-wide scaling of functional connections and heterogeneous recovery of the peri-infarct|['Tim H. Murphy', 'Jeffrey LeDue']
A calcium-dependent feedback mechanism participates in shaping single NMDA miniature EPSCs|['Tim H. Murphy', 'Lynn Raymond']
Real-time imaging of glutamate clearance reveals normal striatal uptake in Huntington disease mouse models|['Tim H. Murphy', 'Lynn Raymond']
Re-establishment of cortical motor output maps and spontaneous functional recovery via spared dorsolaterally projecting corticospinal neurons after dorsal column spinal cord …|['Tim H. Murphy', 'Wolfram Tetzlaff']
Two-photon imaging of glutathione levels in intact brain indicates enhanced redox buffering in developing neurons and cells at the cerebrospinal fluid and blood-brain interface|['Tim H. Murphy', 'Andy Shih']
Developmental decrease in NMDA receptor desensitization associated with shift to synapse and interaction with postsynaptic density-95|['Tim H. Murphy', 'Lynn Raymond']
High-throughput automated home-cage mesoscopic functional imaging of mouse cortex|['Tim H. Murphy', 'Jeffrey LeDue']
Mesoscale infraslow spontaneous membrane potential fluctuations recapitulate high-frequency activity cortical motifs|['Tim H. Murphy', 'Yu Tian Wang', 'Jeffrey LeDue']
Livin'on the edge: imaging dendritic spine turnover in the peri-infarct zone during ischemic stroke and recovery|['Tim H. Murphy', 'Craig E. Brown']
Optogenetic approaches for functional mouse brain mapping|['Tim H. Murphy', 'Jeffrey LeDue']
