sep=|
Name|Name on Profile|Scholar ID|Document Count|Cited by|Cited by 5 years|h-index|h-index 5 years|i10-index|i10-index 5 years|Coauthors|Affiliation|Warning|
Tim H. Murphy|Tim H. Murphy|qJjM8hkAAAAJ|242|21571|6412|76|44|153|104|{'Andy Shih': 9, 'Lynn Raymond': 18, 'Craig E. Brown': 6, 'Jeffrey LeDue': 41, 'Terry Snutch': 1, 'Yu Tian Wang': 4, 'Brian MacVicar': 3, 'Wolfram Tetzlaff': 2, 'Helge Rhodin': 3, 'Peter Cripton': 1, 'Mark Cembrowski': 1}|University of British Columbia||
Annie Ciernia|Annie Vogel Ciernia|XAGfOIIAAAAJ|46|2036|1372|21|20|25|23|{'Brian MacVicar': 1}|University of British Columbia, Vancouver||
Brian MacVicar|Brian MacVicar|Sx3420cAAAAJ|219|22679|7776|78|40|140|82|{'Tim H. Murphy': 3, 'Jeffrey LeDue': 13, 'Annie Ciernia': 1, 'Terry Snutch': 10, 'Anthony Phillips': 1, 'Shernaz Bamji': 1, 'Yu Tian Wang': 1, 'Silke Cresswell': 1, 'Leigh Anne Swayne': 1, 'Fabio Rossi': 1, 'Ian Mackenzie': 1}|Professor, University of British Columbia||
Fidel Vila-Rodriguez|Fidel Vila-Rodriguez|VynxFpEAAAAJ|264|6047|4561|38|35|97|87|{'Sophia Frangou': 6, 'Z. Jane Wang': 1, 'Jason Snyder': 2, 'Silke Cresswell': 1, 'Ian Mackenzie': 1, 'Todd Woodward': 1}|Assistant Professor; University of British Columbia||
Shernaz Bamji|Shernaz Bamji|C832lNEAAAAJ|61|5409|1456|33|23|40|36|{'Brian MacVicar': 1, 'Ian Mackenzie': 1, 'Lynn Raymond': 2, 'Paul Pavlidis': 2, 'Kurt Haas': 6, 'Catharine Rankin': 2, 'Terry Snutch': 1, 'Anthony Phillips': 1}|Professor, University of British Columbia||
Lara Boyd|Lara Boyd|yutn3mwAAAAJ|363|15727|8692|65|46|166|143|{'Martin McKeown': 2, 'A Jon Stoessl': 2, 'Silke Cresswell': 1, 'Vesna Sossi': 2, 'Todd Woodward': 3, 'Liisa Galea': 1}|Professor, University of British Columbia||
Paul Pavlidis|Paul Pavlidis|ataejQQAAAAJ|247|17999|5703|70|43|140|111|{'Shernaz Bamji': 2, 'Kurt Haas': 6, 'Catharine Rankin': 6, 'Terry Snutch': 1, 'Sophia Frangou': 1, 'Vesna Sossi': 1}|Professor of Psychiatry, University of British Columbia||
Martin McKeown|Martin J. McKeown|cBAT2tQAAAAJ|371|16865|5617|48|35|150|96|{'Lara Boyd': 2, 'A Jon Stoessl': 29, 'Silke Cresswell': 33, 'Vesna Sossi': 21, 'Z. Jane Wang': 74, 'Brian D. Fisher': 1, 'Peyman Servati': 1, 'Catharine Winstanley': 1}|Professor and Head, Division of Neurology, University of British Columbia||
A Jon Stoessl|A Jon Stoessl OR jon Stoessl|KnhWIqwAAAAJ|454|31245|8885|79|46|236|135|{'Lara Boyd': 2, 'Martin McKeown': 29, 'Silke Cresswell': 25, 'Vesna Sossi': 135, 'Catharine Winstanley': 3, 'Anthony Phillips': 2, 'Ian Mackenzie': 6, 'Terry Snutch': 1}|University of British Columbia||
Peter Cripton|Peter Cripton|hm6fJTkAAAAJ|285|7933|3410|47|32|117|85|{'Tim H. Murphy': 1, 'Mark Cembrowski': 1, 'Jeffrey LeDue': 1, 'Wolfram Tetzlaff': 14, 'Catharine Winstanley': 1}|Professor of Biomedical Engineering, University of British Columbia||
Jason Snyder|Jason S. Snyder|B6Fe4-4AAAAJ|40|6113|2038|21|19|28|27|{'Fidel Vila-Rodriguez': 2}|Associate Professor, University of British Columbia||
Wolfram Tetzlaff|Wolfram Tetzlaff|HgUvr-IAAAAJ|314|24845|6241|81|39|187|113|{'Tim H. Murphy': 2, 'Peter Cripton': 14, 'Fabio Rossi': 1, 'Jane Roskams': 9, 'Silke Cresswell': 1}|Professor and Principal Investigator ICORD (International Collaboration on Repair Discoveries), UBC||
Anthony Phillips|Anthony Phillips|cHBZKa4AAAAJ|429|37495|7246|104|39|289|114|{'Brian MacVicar': 1, 'Shernaz Bamji': 1, 'A Jon Stoessl': 2, 'Vesna Sossi': 2, 'Jeremy Seamans': 16, 'Yu Tian Wang': 11, 'Todd Woodward': 1, 'Catharine Winstanley': 1, 'Terry Snutch': 3}|University of British Columbia||
Catharine Winstanley|Catharine A. Winstanley|62UFkZcAAAAJ|185|11457|4056|47|35|96|88|{'Martin McKeown': 1, 'A Jon Stoessl': 3, 'Silke Cresswell': 1, 'Peter Cripton': 1, 'Anthony Phillips': 1, 'Vesna Sossi': 3, 'Jeremy Seamans': 1}|University of British Columbia||
