,Author,SciVal Coauthors,Google Scholar Coauthors,SciVal Degrees,Google Scholar Degrees,SciVal Betweenness Centrality,Google Scholar Betweenness Centrality,SciVal Document Count,Google Scholar Document Count
0,Tim H. Murphy,"{'Lynn Raymond': 17, 'Jeffrey LeDue': 25, 'Helge Rhodin': 2, 'Brian MacVicar': 2, 'Yu Tian Wang': 4, 'Wolfram Tetzlaff': 2, 'Craig E. Brown': 6, 'Andy Shih': 9, 'Terry Snutch': 1}","{'Andy Shih': 9, 'Lynn Raymond': 18, 'Craig E. Brown': 6, 'Jeffrey LeDue': 40, 'Terry Snutch': 1, 'Yu Tian Wang': 4, 'Brian MacVicar': 3, 'Wolfram Tetzlaff': 2, 'Helge Rhodin': 2, 'Peter Cripton': 1, 'Mark Cembrowski': 1}",9.0,11.0,0.7555555555555555,0.7494949494949495,185,238
1,Anthony Phillips,"{'Brian MacVicar': 1, 'Shernaz Bamji': 1, 'A Jon Stoessl': 2, 'Vesna Sossi': 2, 'Terry Snutch': 3, 'Jeremy Seamans': 15, 'Yu Tian Wang': 14, 'Z. Jane Wang': 1, 'Todd Woodward': 1}","{'Brian MacVicar': 1, 'Shernaz Bamji': 1, 'A Jon Stoessl': 2, 'Vesna Sossi': 2, 'Jeremy Seamans': 15, 'Yu Tian Wang': 11, 'Todd Woodward': 1, 'Catharine Winstanley': 1, 'Terry Snutch': 3}",9.0,9.0,0.1414141414141414,0.5292929292929293,307,428
2,Yu Tian Wang,"{'Tim H. Murphy': 4, 'Jeffrey LeDue': 3, 'Brian MacVicar': 2, 'Shernaz Bamji': 1, 'Anthony Phillips': 14, 'Jeremy Seamans': 1, 'Lynn Raymond': 2, 'Ian Mackenzie': 1, 'Catharine Rankin': 1}","{'Tim H. Murphy': 4, 'Jeffrey LeDue': 2, 'Brian MacVicar': 1, 'Anthony Phillips': 11, 'Jeremy Seamans': 1, 'Lynn Raymond': 3, 'Catharine Rankin': 1}",9.0,7.0,0.10505050505050505,0.498989898989899,192,200
3,A Jon Stoessl,"{'Lara Boyd': 1, 'Martin McKeown': 16, 'Silke Cresswell': 14, 'Vesna Sossi': 73, 'Ian Mackenzie': 2, 'Anthony Phillips': 2, 'Terry Snutch': 1}","{'Lara Boyd': 2, 'Martin McKeown': 29, 'Silke Cresswell': 25, 'Vesna Sossi': 134, 'Catharine Winstanley': 3, 'Anthony Phillips': 2, 'Ian Mackenzie': 6, 'Terry Snutch': 1}",7.0,8.0,0.35252525252525246,0.4404040404040404,305,449
4,Martin McKeown,"{'Lara Boyd': 2, 'A Jon Stoessl': 16, 'Silke Cresswell': 14, 'Vesna Sossi': 11, 'Z. Jane Wang': 82, 'Peyman Servati': 1}","{'Lara Boyd': 2, 'A Jon Stoessl': 29, 'Silke Cresswell': 33, 'Vesna Sossi': 21, 'Z. Jane Wang': 72, 'Brian D. Fisher': 1, 'Peyman Servati': 1, 'Catharine Winstanley': 1}",6.0,8.0,0.2404040404040404,0.397979797979798,260,370
5,Z. Jane Wang,"{'Fidel Vila-Rodriguez': 1, 'Martin McKeown': 82, 'Silke Cresswell': 2, 'Anthony Phillips': 1, 'Helge Rhodin': 2, 'Liisa Galea': 1, 'Brian D. Fisher': 1, 'Purang Abolmaesumi': 1, 'Peyman Servati': 1}","{'Fidel Vila-Rodriguez': 1, 'Martin McKeown': 72, 'Silke Cresswell': 4, 'Peyman Servati': 2, 'Helge Rhodin': 1}",9.0,5.0,0.1111111111111111,0.3191919191919192,336,449
6,Lynn Raymond,"{'Tim H. Murphy': 17, 'Shernaz Bamji': 2, 'Ian Mackenzie': 2, 'Yu Tian Wang': 2, 'Jeffrey LeDue': 1}","{'Tim H. Murphy': 18, 'Shernaz Bamji': 2, 'Ian Mackenzie': 3, 'Yu Tian Wang': 3, 'Jeffrey LeDue': 2}",5.0,5.0,0.5848484848484848,0.23434343434343435,153,171
7,Jeffrey LeDue,"{'Tim H. Murphy': 25, 'Helge Rhodin': 1, 'Brian MacVicar': 10, 'Yu Tian Wang': 3, 'Terry Snutch': 2, 'Paul Pavlidis': 1, 'Lynn Raymond': 1}","{'Tim H. Murphy': 40, 'Brian MacVicar': 13, 'Yu Tian Wang': 2, 'Helge Rhodin': 1, 'Peter Cripton': 1, 'Mark Cembrowski': 1, 'Terry Snutch': 3, 'Lynn Raymond': 2}",7.0,8.0,0.3292929292929293,0.22626262626262628,37,71
8,Wolfram Tetzlaff,"{'Tim H. Murphy': 2, 'Peter Cripton': 6, 'Jane Roskams': 9, 'Fabio Rossi': 1}","{'Tim H. Murphy': 2, 'Peter Cripton': 14, 'Fabio Rossi': 1, 'Jane Roskams': 9, 'Silke Cresswell': 1}",4.0,5.0,0.15353535353535352,0.21212121212121213,206,315
9,Fidel Vila-Rodriguez,"{'Sophia Frangou': 5, 'Ian Mackenzie': 1, 'Jason Snyder': 2, 'Silke Cresswell': 1, 'Z. Jane Wang': 1}","{'Z. Jane Wang': 1, 'Sophia Frangou': 6, 'Jason Snyder': 2, 'Silke Cresswell': 1, 'Ian Mackenzie': 1, 'Todd Woodward': 1}",5.0,6.0,0.1303030303030303,0.13535353535353536,161,264
