GS ONLY publications,GS ONLY title,GS ONLY coauthors,SV ONLY publications,SV ONLY title,SV ONLY coauthors,shared publications,shared gs title,shared sv title,shared gs coauthors,shared sv coauthors
neuralnetmodelinsightsintobasalgangliafunction,NEURAL-NET MODEL INSIGHTS INTO BASAL GANGLIA FUNCTION,"['Martin McKeown', 'A Jon Stoessl']",petstudyof18f6fluoroldopauptakeinneurolepticandmoodstabilizernaivefirstepisodenonpsychoticmaniaeffectsoftreatmentwithdivalproexsodium,PET study of [<sup>18</sup>F]6-fluoro-L-dopa uptake in neuroleptic and mood-stabilizer-naive first-episode nonpsychotic mania: Effects of treatment with divalproex sodium,"['A Jon Stoessl', 'Vesna Sossi']",ageandseverityofnigrostriataldamageatonsetofparkinsonsdisease,Age and severity of nigrostriatal damage at onset of Parkinson's disease,Age and severity of nigrostriatal damage at onset of Parkinson's disease,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
p237918ffluorodeoxyglucosepositronemissiontomographyinpresymptomaticprogranulinmutationcarriers,P2‐379:(18) F‐Fluorodeoxyglucose positron emission tomography in presymptomatic progranulin mutation carriers,"['A Jon Stoessl', 'Ian Mackenzie', 'Vesna Sossi']",astickyweightedregressionmodelfortimevaryingrestingstatebrainconnectivityestimation,A sticky weighted regression model for time-varying resting-state brain connectivity estimation,"['Martin McKeown', 'Z. Jane Wang']",nrf2genedeletionfailstoalterpsychostimulantinducedbehaviororneurotoxicity,Nrf2 gene deletion fails to alter psychostimulant-induced behavior or neurotoxicity,Nrf2 gene deletion fails to alter psychostimulant-induced behavior or neurotoxicity,"['Tim H. Murphy', 'Andy Shih']","['Tim H. Murphy', 'Andy Shih']"
smallpvaluesmaynotyieldrobustfindingsanexampleusingrestmetapd,Small P values may not yield robust findings: an example using REST-meta-PD,"['Martin McKeown', 'Z. Jane Wang']",distinctbutoverlappingrolesoflrrtm1andlrrtm2indevelopingandmaturehippocampalcircuits,Distinct but overlapping roles of LRRTM1 and LRRTM2 in developing and mature hippocampal circuits,"['Shernaz Bamji', 'Yu Tian Wang']",invivoimagingrevealsthatpregabalininhibitscorticalspreadingdepressionandpropagationtosubcorticalbrainstructures,In vivo imaging reveals that pregabalin inhibits cortical spreading depression and propagation to subcortical brain structures,In vivo imaging reveals that pregabalin inhibits cortical spreading depression and propagation to subcortical brain structures,"['Brian MacVicar', 'Terry Snutch', 'Jeffrey LeDue']","['Brian MacVicar', 'Terry Snutch', 'Jeffrey LeDue']"
hiddenmarkovmultivariateautoregressivehmmmarmodelingofdynamicmuscleassociationpatternsinreachingmovements,Hidden Markov multivariate autoregressive (HMM-mAR) modeling of dynamic muscle association patterns in reaching movements,"['Martin McKeown', 'Z. Jane Wang']",projectionbasedphasefeaturesforlocalizationofaneedletipin2dcurvilinearultrasound,Projection-based phase features for localization of a needle tip in 2D curvilinear ultrasound,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']",blockofvoltagegatedcalciumchannelsstimulatesdopamineeffluxinratmesocorticolimbicsystem,Block of voltage-gated calcium channels stimulates dopamine efflux in rat mesocorticolimbic system,Block of voltage-gated calcium channels stimulates dopamine efflux in rat mesocorticolimbic system,"['Anthony Phillips', 'Terry Snutch']","['Anthony Phillips', 'Terry Snutch']"
alteredfunctionaltopographyofthestriatuminrestingstatefmriinparkinsonsdisease,Altered functional topography of the striatum in resting state fMRI in Parkinson's disease,"['Martin McKeown', 'Z. Jane Wang']",probabilisticbooleannetworkforinferringbrainconnectivityusingfmridata,Probabilistic Boolean Network for inferring brain connectivity using fMRI data,"['Martin McKeown', 'Z. Jane Wang']",autosomaldominantdystoniapluswithcerebralcalcifications,Autosomal dominant dystonia-plus with cerebral calcifications,Autosomal dominant dystonia-plus with cerebral calcifications,"['A Jon Stoessl', 'Ian Mackenzie']","['A Jon Stoessl', 'Ian Mackenzie']"
8brainconnectivity,8 Brain Connectivity,"['Martin McKeown', 'Z. Jane Wang']",corrigendumtoevaluationofthewistarkyotoratmodelofdepressionandtheroleofsynapticplasticityindepressionandantidepressantresponseneuroscibiobehavrev1052019123neuroscienceandbiobehavioralreviews2019105123s0149763419303483101016jneubiorev201907007,"Corrigendum to “Evaluation of the Wistar-Kyoto rat model of depression and the role of synaptic plasticity in depression and antidepressant response” [Neurosci. Biobehav. Rev. 105 (2019) 1–23] (Neuroscience and Biobehavioral Reviews (2019) 105 (1–23), (S0149763419303483), (10.1016/j.neubiorev.2019.07.007))","['Anthony Phillips', 'Yu Tian Wang']",anovelsegmentationmutualinformationnetworkframeworkforeeganalysisofmotortasks,"A novel segmentation, mutual information network framework for EEG analysis of motor tasks","A novel segmentation, mutual information network framework for EEG analysis of motor tasks","['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
detectingtwotaskdopaminereleaseviaresidualanalysis,Detecting two-task dopamine release via residual analysis,"['A Jon Stoessl', 'Vesna Sossi']",mutualinformationbasedrelevancenetworkanalysisaparkinsonsdiseasestudy,Mutual information based relevance network analysis: A Parkinson's disease study,"['Martin McKeown', 'Z. Jane Wang']",longitudinalprogressionofsporadicparkinsonsdiseaseamultitracerpositronemissiontomographystudy,Longitudinal progression of sporadic Parkinson's disease: a multi-tracer positron emission tomography study,Longitudinal progression of sporadic Parkinson's disease: A multi-tracer positron emission tomography study,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
theneurosurgicaltreatmentofspasmodicdysphoniainterimresultsofdebussy,The Neurosurgical Treatment of Spasmodic Dysphonia: Interim Results of DEBUSSY.,"['Silke Cresswell', 'Vesna Sossi']",oscillatorypowerandsynchronyintheratforebrainarealteredbyasensitizingregimeofdamphetamine,Oscillatory power and synchrony in the rat forebrain are altered by a sensitizing regime of d-amphetamine,"['Anthony Phillips', 'Z. Jane Wang']",bayesiannetworkmodelingfordiscoveringdirectedsynergiesamongmusclesinreachingmovements,"Bayesian Network Modeling For Discovering"" Directed Synergies"" Among Muscles in Reaching Movements","Bayesian network modeling for discovering ""directed synergies"" among muscles in reaching movements","['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
emergingneuroimagingtechnologiestowardsfuturepersonalizeddiagnosticsprognosistargetedinterventionandethicalchallenges,"Emerging neuroimaging technologies: Towards future personalized diagnostics, prognosis, targeted intervention and ethical challenges","['Todd Woodward', 'Vesna Sossi']",movementdisorders,Movement disorders,"['Martin McKeown', 'A Jon Stoessl']",invivopositronemissiontomographicevidenceforcompensatorychangesinpresynapticdopaminergicnerveterminalsinparkinsonsdisease,In vivo positron emission tomographic evidence for compensatory changes in presynaptic dopaminergic nerve terminals in Parkinson's disease,In vivo positron emission tomographic evidence for compensatory changes in presynaptic dopaminergic nerve terminals in Parkinson's disease,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
novelspatialanalysismethodforpetdatausing3dmomentinvariantsapplicationstoparkinsonsdisease,Novel spatial analysis method for PET data using 3D moment invariants: applications to Parkinson's disease,"['Martin McKeown', 'Silke Cresswell', 'Vesna Sossi']",facilitatedextinctionofmorphineconditionedplacepreferencewithtatglua23yinterferencepeptide,Facilitated extinction of morphine conditioned place preference with Tat-GluA2<inf>3Y</inf> interference peptide,"['Anthony Phillips', 'Yu Tian Wang']",noniterativepartialview3dultrasoundtoctregistrationinultrasoundguidedcomputerassistedorthopedicsurgery,Non-iterative partial view 3D ultrasound to CT registration in ultrasound-guided computer-assisted orthopedic surgery,Non-iterative partial view 3D ultrasound to CT registration in ultrasound-guided computer-assisted orthopedic surgery,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']","['Ilker Hacihaliloglu', 'Purang Abolmaesumi']"
