Title,Authors
Chronic multiscale resolution of mouse brain networks using combined mesoscale cortical imaging and subcortical fiber photometry,"['Timothy H. Murphy', 'Lynn A. Raymond']"
Water-Reaching Platform for Longitudinal Assessment of Cortical Activity and Fine Motor Coordination Defects in a Huntington Disease Mouse Model,"['Timothy H. Murphy', 'Lynn A. Raymond']"
Multiscale imaging informs translational mouse modeling of neurological disease,"['Timothy H. Murphy', 'Jeffrey M. LeDue']"
"Towards a Visualizable, De-identified Synthetic Biomarker of Human Movement Disorders","['Timothy H. Murphy', 'Helge Rhodin']"
Altered cortical processing of sensory input in Huntington disease mouse models,"['Timothy H. Murphy', 'Lynn A. Raymond']"
A three-dimensional virtual mouse generates synthetic training data for behavioral analysis,"['Timothy H. Murphy', 'Helge Rhodin', 'Jeffrey M. LeDue']"
Gamma frequency activation of inhibitory neurons in the acute phase after stroke attenuates vascular and behavioral dysfunction,"['Timothy H. Murphy', 'Brian A. MacVicar', 'Jeffrey M. LeDue']"
PiDose: an open-source system for accurate and automated oral drug administration to group-housed mice,"['Timothy H. Murphy', 'Lynn A. Raymond']"
Stress impacts sensory variability through cortical sensory activity motifs,"['Timothy H. Murphy', 'Jeffrey M. LeDue']"
Automated task training and longitudinal monitoring of mouse mesoscale cortical circuits using home cages,"['Timothy H. Murphy', 'Jeffrey M. LeDue']"
Peripheral Nerve Ligation Elicits Widespread Alterations in Cortical Sensory Evoked and Spontaneous Activity,"['Timothy H. Murphy', 'Jeffrey M. LeDue']"
Longitudinal monitoring of mesoscopic cortical activity in a mouse model of microinfarcts reveals dissociations with behavioral and motor function,"['Timothy H. Murphy', 'Jeffrey M. LeDue']"
Individualized tracking of self-directed motor learning in group-housed mice performing a skilled lever positioning task in the home cage,"['Timothy H. Murphy', 'Jeffrey M. LeDue']"
An automated home-cage system to assess learning and performance of a skilled motor task in a mouse model of huntington’s disease,"['Timothy H. Murphy', 'Lynn A. Raymond']"
Cortical functional hyperconnectivity in a mouse model of depression and selective network effects of ketamine,"['Timothy H. Murphy', 'Jeffrey M. LeDue']"
Targeted ischemic stroke induction and mesoscopic imaging assessment of blood flow and ischemic depolarization in awake mice,"['Timothy H. Murphy', 'Jeffrey M. LeDue']"
"Mesoscale brain explorer, a flexible python-based image analysis and visualization tool","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
Mapping cortical mesoscopic networks of single spiking cortical or sub-cortical neurons,"['Timothy H. Murphy', 'Jeffrey M. LeDue']"
Cost effective raspberry pi-based radio frequency identification tagging of mice suitable for automated in vivo imaging,"['Timothy H. Murphy', 'Jeffrey M. LeDue']"
Mapping synaptic glutamate transporter dysfunction in vivo to regions surrounding Aβ plaques by iGluSnFR two-photon imaging,"['Timothy H. Murphy', 'Brian A. MacVicar', 'Jeffrey M. LeDue']"
Altered Cortical Dynamics and Cognitive Function upon Haploinsufficiency of the Autism-Linked Excitatory Synaptic Suppressor MDGA2,"['Timothy H. Murphy', 'YuTian Wang', 'Jeffrey M. LeDue']"
High-throughput automated home-cage mesoscopic functional imaging of mouse cortex,"['Timothy H. Murphy', 'Jeffrey M. LeDue']"
Real-time imaging of glutamate clearance reveals normal striatal uptake in Huntington disease mouse models,"['Timothy H. Murphy', 'Lynn A. Raymond']"
Re-establishment of cortical motor output maps and spontaneous functional recovery via spared dorsolaterally projecting corticospinal neurons after dorsal column spinal cord injury in adult mice,"['Timothy H. Murphy', 'Wolfram G. Tetzlaff']"
Optogenetic stimulation of GABA neurons can decrease local neuronal activity while increasing cortical blood flow,"['Timothy H. Murphy', 'Jeffrey M. LeDue']"
"Network analysis of mesoscale optical recordings to assess regional, functional connectivity","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
Mesoscale infraslow spontaneous membrane potential fluctuations recapitulate high-frequency activity cortical motifs,"['Timothy H. Murphy', 'YuTian Wang', 'Jeffrey M. LeDue']"
Cortical activity motifs that correspond to sensory modalities are organized within larger superclusters,"['Timothy H. Murphy', 'Jeffrey M. LeDue']"
Optogenetic mapping after stroke reveals network-wide scaling of functional connections and heterogeneous recovery of the peri-infarct,"['Timothy H. Murphy', 'Jeffrey M. LeDue']"
Ministrokes in channelrhodopsin-2 transgenic mice reveal widespread deficits in motor output despite maintenance of cortical neuronal excitability,"['Timothy H. Murphy', 'Wolfram G. Tetzlaff']"
Spontaneous cortical activity alternates between motifs defined by regional axonal projections,"['Timothy H. Murphy', 'YuTian Wang', 'Jeffrey M. LeDue']"
"Improved methods for chronic light-based motor mapping in mice: Automated movement tracking with accelerometers, and chronic EEG recording in a bilateral thin-skull preparation","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
Optogenetic approaches for functional mouse brain mapping,"['Timothy H. Murphy', 'Jeffrey M. LeDue']"
In vivo large-scale cortical mapping using channelrhodopsin-2 stimulation in transgenic mice reveals asymmetric and reciprocal relationships between cortical areas,"['Timothy H. Murphy', 'Jeffrey M. LeDue']"
Postsynaptic TrkC and presynaptic PTPσ function as a bidirectional excitatory synaptic organizing complex,"['Timothy H. Murphy', 'YuTian Wang']"
Longitudinal in vivo imaging reveals balanced and branch-specific remodeling of mature cortical pyramidal dendritic arbors after stroke,"['Timothy H. Murphy', 'Craig E. Brown']"
Early Increase in Extrasynaptic NMDA Receptor Signaling and Expression Contributes to Phenotype Onset in Huntington's Disease Mice (DOI:10.1016/j.neuron.2010.01.008),"['Timothy H. Murphy', 'Lynn A. Raymond']"
Early Increase in Extrasynaptic NMDA Receptor Signaling and Expression Contributes to Phenotype Onset in Huntington's Disease Mice,"['Timothy H. Murphy', 'Lynn A. Raymond']"
In vivo voltage-sensitive dye imaging in adult mice reveals that somatosensory maps lost to stroke are replaced over weeks by new structural and functional circuits with prolonged modes of activation within both the peri-infarct zone and distant sites,"['Timothy H. Murphy', 'Craig E. Brown']"
Livin' on the edge: Imaging dendritic spine turnover in the peri-infarct zone during ischemic stroke and recovery,"['Timothy H. Murphy', 'Craig E. Brown']"
Rapid morphologic plasticity of peri-infarct dendritic spines after focal ischemic stroke,"['Timothy H. Murphy', 'Craig E. Brown']"
Differential regulation of cell proliferation in neurogenic zones in mice lacking cystine transport by xCT,"['Timothy H. Murphy', 'Craig E. Brown']"
