Title,Authors
Coordinate regulation of glutathione biosynthesis and release by Nrf2-expressing glia potently protects neurons from oxidative stress,"['Tim H. Murphy', 'Andy Y. Shih']"
Early increase in extrasynaptic NMDA receptor signaling and expression contributes to phenotype onset in Huntington's disease mice,"['Tim H. Murphy', 'Lynn A Raymond']"
A small-molecule-inducible Nrf2-mediated antioxidant response provides effective prophylaxis against cerebral ischemia in vivo,"['Tim H. Murphy', 'Andy Y. Shih']"
Extensive turnover of dendritic spines and vascular remodeling in cortical tissues recovering from stroke,"['Tim H. Murphy', 'Craig E. Brown']"
Spontaneous cortical activity alternates between motifs defined by regional axonal projections,"['Tim H. Murphy', 'Jeffrey LeDue']"
NF-E2-related factor-2 mediates neuroprotection against mitochondrial complex I inhibitors and increased concentrations of intracellular calcium in primary cortical neurons,"['Tim H. Murphy', 'Andy Y. Shih']"
Cystine/glutamate exchange modulates glutathione supply for neuroprotection from oxidative stress and cell proliferation,"['Tim H. Murphy', 'Andy Y. Shih']"
In vivo voltage-sensitive dye imaging in adult mice reveals that somatosensory maps lost to stroke are replaced over weeks by new structural and functional circuits with …,"['Tim H. Murphy', 'Craig E. Brown']"
Induction of the Nrf2-driven antioxidant response confers neuroprotection during mitochondrial stress in vivo,"['Tim H. Murphy', 'Andy Y. Shih']"
P/Q-type calcium channels mediate the activity-dependent feedback of syntaxin-1A,"['Tim H. Murphy', 'Snutch']"
Differential regulation of synaptic and extra-synaptic NMDA receptors,"['Tim H. Murphy', 'Lynn A Raymond']"
Postsynaptic TrkC and presynaptic PTPσ function as a bidirectional excitatory synaptic organizing complex,"['Tim H. Murphy', 'Yu Tian Wang']"
Rapid morphologic plasticity of peri-infarct dendritic spines after focal ischemic stroke,"['Tim H. Murphy', 'Craig E. Brown']"
Competition between phasic and asynchronous release for recovered synaptic vesicles at developing hippocampal autaptic synapses,"['Tim H. Murphy', 'Lynn A Raymond']"
Role of NR2B-type NMDA receptors in selective neurodegeneration in Huntington disease,"['Tim H. Murphy', 'Lynn A Raymond']"
In vivo Large-Scale Cortical Mapping Using Channelrhodopsin-2 Stimulation in Transgenic Mice Reveals Asymmetric and Reciprocal Relationships between …,"['Tim H. Murphy', 'Jeffrey LeDue']"
Enhanced Striatal NR2B-Containing N-Methyl-d-Aspartate Receptor-Mediated Synaptic Currents in a Mouse Model of Huntington Disease,"['Tim H. Murphy', 'Lynn A Raymond']"
Mapping synaptic glutamate transporter dysfunction in vivo to regions surrounding Aβ plaques by iGluSnFR two-photon imaging,"['Tim H. Murphy', 'Brian MacVicar', 'Jeffrey LeDue']"
Longitudinal in vivo Imaging Reveals Balanced and Branch-Specific Remodeling of Mature Cortical Pyramidal Dendritic Arbors after Stroke,"['Tim H. Murphy', 'Craig E. Brown']"
Mapping cortical mesoscopic networks of single spiking cortical or sub-cortical neurons,"['Tim H. Murphy', 'Jeffrey LeDue']"
Optogenetic stimulation of GABA neurons can decrease local neuronal activity while increasing cortical blood flow,"['Tim H. Murphy', 'Jeffrey LeDue']"
A calcium-dependent feedback mechanism participates in shaping single NMDA miniature EPSCs,"['Tim H. Murphy', 'Lynn A Raymond']"
Optogenetic mapping after stroke reveals network-wide scaling of functional connections and heterogeneous recovery of the peri-infarct,"['Tim H. Murphy', 'Jeffrey LeDue']"
Re-establishment of cortical motor output maps and spontaneous functional recovery via spared dorsolaterally projecting corticospinal neurons after dorsal column spinal cord …,"['Tim H. Murphy', 'Wolfram Tetzlaff']"
Two-photon imaging of glutathione levels in intact brain indicates enhanced redox buffering in developing neurons and cells at the cerebrospinal fluid and blood-brain interface,"['Tim H. Murphy', 'Andy Y. Shih']"
Real-time imaging of glutamate clearance reveals normal striatal uptake in Huntington disease mouse models,"['Tim H. Murphy', 'Lynn A Raymond']"
Developmental decrease in NMDA receptor desensitization associated with shift to synapse and interaction with postsynaptic density-95,"['Tim H. Murphy', 'Lynn A Raymond']"
High-throughput automated home-cage mesoscopic functional imaging of mouse cortex,"['Tim H. Murphy', 'Jeffrey LeDue']"
Mesoscale infraslow spontaneous membrane potential fluctuations recapitulate high-frequency activity cortical motifs,"['Tim H. Murphy', 'Yu Tian Wang', 'Jeffrey LeDue']"
Livin'on the edge: imaging dendritic spine turnover in the peri-infarct zone during ischemic stroke and recovery,"['Tim H. Murphy', 'Craig E. Brown']"
Altered cortical dynamics and cognitive function upon haploinsufficiency of the autism-linked excitatory synaptic suppressor MDGA2,"['Tim H. Murphy', 'Jeffrey LeDue']"
Optogenetic approaches for functional mouse brain mapping,"['Tim H. Murphy', 'Jeffrey LeDue']"
Dopamine activates Nrf2‐regulated neuroprotective pathways in astrocytes and meningeal cells,"['Tim H. Murphy', 'Andy Y. Shih']"
xCt cystine transporter expression in HEK293 cells: pharmacology and localization,"['Tim H. Murphy', 'Andy Y. Shih']"
Cortical functional hyperconnectivity in a mouse model of depression and selective network effects of ketamine,"['Tim H. Murphy', 'Jeffrey LeDue']"
Site within N-methyl-D-aspartate receptor pore modulates channel gating,"['Tim H. Murphy', 'Lynn A Raymond']"
Changes in Agonist Concentration Dependence That Are a Function of Duration of Exposure SuggestN-Methyl-D-aspartate Receptor Nonsaturation during Synaptic Stimulation,"['Tim H. Murphy', 'Lynn A Raymond']"
"Improved methods for chronic light-based motor mapping in mice: automated movement tracking with accelerometers, and chronic EEG recording in a bilateral thin-skull preparation","['Tim H. Murphy', 'Jeffrey LeDue']"
A three-dimensional virtual mouse generates synthetic training data for behavioral analysis,"['Tim H. Murphy', 'Helge Rhodin', 'Jeffrey LeDue']"
Ministrokes in channelrhodopsin-2 transgenic mice reveal widespread deficits in motor output despite maintenance of cortical neuronal excitability,"['Tim H. Murphy', 'Wolfram Tetzlaff']"
Targeted ischemic stroke induction and mesoscopic imaging assessment of blood flow and ischemic depolarization in awake mice,"['Tim H. Murphy', 'Jeffrey LeDue']"
Longitudinal monitoring of mesoscopic cortical activity in a mouse model of microinfarcts reveals dissociations with behavioral and motor function,"['Tim H. Murphy', 'Jeffrey LeDue']"
Gamma frequency activation of inhibitory neurons in the acute phase after stroke attenuates vascular and behavioral dysfunction,"['Tim H. Murphy', 'Brian MacVicar', 'Jeffrey LeDue']"
Cost effective raspberry pi-based radio frequency identification tagging of mice suitable for automated in vivo imaging,"['Tim H. Murphy', 'Jeffrey LeDue']"
"Network analysis of mesoscale optical recordings to assess regional, functional connectivity","['Tim H. Murphy', 'Jeffrey LeDue']"
Automated task training and longitudinal monitoring of mouse mesoscale cortical circuits using home cages,"['Tim H. Murphy', 'Jeffrey LeDue']"
An automated home-cage system to assess learning and performance of a skilled motor task in a mouse model of Huntington’s disease,"['Tim H. Murphy', 'Lynn A Raymond']"
Individualized tracking of self-directed motor learning in group-housed mice performing a skilled lever positioning task in the home cage,"['Tim H. Murphy', 'Jeffrey LeDue']"
Nrf2 gene deletion fails to alter psychostimulant-induced behavior or neurotoxicity,"['Tim H. Murphy', 'Andy Y. Shih']"
Differential regulation of cell proliferation in neurogenic zones in mice lacking cystine transport by xCT,"['Tim H. Murphy', 'Craig E. Brown']"
"Mesoscale brain explorer, a flexible python-based image analysis and visualization tool","['Tim H. Murphy', 'Jeffrey LeDue']"
Competitive Inhibition of NMDA Receptor–Mediated Currents by Extracellular Calcium Chelators,"['Tim H. Murphy', 'Lynn A Raymond']"
Stress impacts sensory variability through cortical sensory activity motifs,"['Tim H. Murphy', 'Jeffrey LeDue']"
Altered cortical processing of sensory input in Huntington disease mouse models,"['Tim H. Murphy', 'Lynn A Raymond']"
PiDose: an open-source system for accurate and automated oral drug administration to group-housed mice,"['Tim H. Murphy', 'Lynn A Raymond']"
Mesoscale cortical calcium imaging reveals widespread synchronized infraslow activity during social touch in mice,"['Tim H. Murphy', 'Jeffrey LeDue']"
Peripheral nerve ligation elicits widespread alterations in cortical sensory evoked and spontaneous activity,"['Tim H. Murphy', 'Jeffrey LeDue']"
Water-Reaching Platform for Longitudinal Assessment of Cortical Activity and Fine Motor Coordination Defects in a Huntington Disease Mouse Model,"['Tim H. Murphy', 'Lynn A Raymond']"
"Optogenetic mapping after stroke reveals network-wide scaling of functional connections and heterogeneous recovery of the peri-infarct (December, pg 16455, 2014)","['Tim H. Murphy', 'Jeffrey LeDue']"
Neurophotonics tutorial on making connectivity diagrams from Channelrhodopsin-2 stimulated data,"['Tim H. Murphy', 'Jeffrey LeDue']"
"Towards a Visualizable, De-identified Synthetic Biomarker of Human Movement Disorders","['Tim H. Murphy', 'Helge Rhodin']"
Monitoring the functional parcellation and topography with mesoscopic calcium imaging of resting state cortical activitity in mice,"['Tim H. Murphy', 'Jeffrey LeDue']"
Leveraging the power of 3D brain-wide imaging and mapping tools for brain injury research in murine models,"['Tim H. Murphy', 'Peter Cripton', 'Mark S. Cembrowski', 'Jeffrey LeDue']"
Chronic multiscale resolution of mouse brain networks using combined mesoscale cortical imaging and subcortical fiber photometry,"['Tim H. Murphy', 'Lynn A Raymond']"
Multiscale imaging informs translational mouse modeling of neurological disease,"['Tim H. Murphy', 'Jeffrey LeDue']"
Longitudinal assessment of water-reaching reveals altered cortical activity and fine motor coordination defects in a Huntington Disease model,"['Tim H. Murphy', 'Lynn A Raymond']"
